0., 0., 1.
1., 0., 0.
0., 0., 1.
0., 1., 0.
0., 0., 1.
1., 0., 0.
0., 1., 0.
0., 1., 0.
1., 0., 0.
1., 0., 0.
0., 1., 0.
1., 0., 0.
0., 0., 1.
0., 0., 1.
0., 0., 1.
1., 0., 0.
0., 0., 1.
0., 1., 0.
0.00000914, 0.0241776 , 0.98444103
0.99955382, 0.00112671, 0.00000172
0.00000908, 0.02695143, 0.98340312
0.01745419, 0.88565234, 0.00591799
0.00004534, 0.21378306, 0.85592995
0.92356577, 0.1338624 , 0.00004419
0.0049522 , 0.90787226, 0.01867321
0.00167319, 0.89505601, 0.05369862
0.96911206, 0.07004966, 0.00002117
0.99457558, 0.01183577, 0.00000771
0.00154656, 0.8775915 , 0.05890287
0.98285507, 0.0349376 , 0.00001672
0.00000515, 0.01526448, 0.99201873
0.0000073 , 0.02290768, 0.9876953 
0.00000446, 0.01099623, 0.99391508
0.99101324, 0.02305272, 0.00001025
0.00011289, 0.2550772 , 0.70240261
0.00444809, 0.88169404, 0.02286671
