0., 0., 1.
1., 0., 0.
0., 0., 1.
0., 1., 0.
0., 0., 1.
1., 0., 0.
0., 1., 0.
0., 1., 0.
1., 0., 0.
1., 0., 0.
0., 1., 0.
1., 0., 0.
0., 0., 1.
0., 0., 1.
0., 0., 1.
1., 0., 0.
0., 0., 1.
0., 1., 0.

0.00000225, 0.02496934, 0.98674008
0.99933682, 0.00200296, 0.00000332
0.00000199, 0.03021883, 0.98790292
0.01284789, 0.87595383, 0.0074307 
0.00001709, 0.21466605, 0.85751222
0.92251427, 0.1157592 , 0.00006542
0.00382185, 0.9002313 , 0.01678387
0.00125397, 0.87776545, 0.04451201
0.97073257, 0.06230231, 0.00003282
0.99345671, 0.01183591, 0.00001542
0.00111107, 0.8610186 , 0.05234041
0.9811239 , 0.03453373, 0.00002635
0.00000094, 0.01425499, 0.99486239
0.00000176, 0.02027661, 0.98962984
0.00000071, 0.01129529, 0.99643753
0.9910915 , 0.03219808, 0.00001208
0.00004387, 0.29055419, 0.71371502
0.00350096, 0.87010267, 0.01889027
