0.0077,0.7984,0.0924,0.4366,0.0195,0.2998,0.2538,0.6987,0.3978,0.4334,0.4173
0.4173,0.0077,0.7984,0.0924,0.4366,0.0195,0.2998,0.2538,0.6987,0.3978,0.0062
0.0062,0.4173,0.0077,0.7984,0.0924,0.4366,0.0195,0.2998,0.2538,0.6987,0.3387
0.3387,0.0062,0.4173,0.0077,0.7984,0.0924,0.4366,0.0195,0.2998,0.2538,0.1886
0.1886,0.3387,0.0062,0.4173,0.0077,0.7984,0.0924,0.4366,0.0195,0.2998,0.7418
0.7418,0.1886,0.3387,0.0062,0.4173,0.0077,0.7984,0.0924,0.4366,0.0195,0.3138
0.3138,0.7418,0.1886,0.3387,0.0062,0.4173,0.0077,0.7984,0.0924,0.4366,0.4466
0.4466,0.3138,0.7418,0.1886,0.3387,0.0062,0.4173,0.0077,0.7984,0.0924,0.0835
0.0835,0.4466,0.3138,0.7418,0.1886,0.3387,0.0062,0.4173,0.0077,0.7984,0.193
0.193,0.0835,0.4466,0.3138,0.7418,0.1886,0.3387,0.0062,0.4173,0.0077,0.3807
0.3807,0.193,0.0835,0.4466,0.3138,0.7418,0.1886,0.3387,0.0062,0.4173,0.5438
0.5438,0.3807,0.193,0.0835,0.4466,0.3138,0.7418,0.1886,0.3387,0.0062,0.5897
0.5897,0.5438,0.3807,0.193,0.0835,0.4466,0.3138,0.7418,0.1886,0.3387,0.3536
0.3536,0.5897,0.5438,0.3807,0.193,0.0835,0.4466,0.3138,0.7418,0.1886,0.221
0.221,0.3536,0.5897,0.5438,0.3807,0.193,0.0835,0.4466,0.3138,0.7418,0.0631
0.0631,0.221,0.3536,0.5897,0.5438,0.3807,0.193,0.0835,0.4466,0.3138,0.4499
0.4499,0.0631,0.221,0.3536,0.5897,0.5438,0.3807,0.193,0.0835,0.4466,0.2564
0.2564,0.4499,0.0631,0.221,0.3536,0.5897,0.5438,0.3807,0.193,0.0835,0.7642
0.7642,0.2564,0.4499,0.0631,0.221,0.3536,0.5897,0.5438,0.3807,0.193,0.1411
0.1411,0.7642,0.2564,0.4499,0.0631,0.221,0.3536,0.5897,0.5438,0.3807,0.3626
