0.7192,0.3609,0.4405,0.1023,0.1701,0.2258
0.2258,0.7192,0.3609,0.4405,0.1023,0.3175
0.3175,0.2258,0.7192,0.3609,0.4405,0.0127
0.0127,0.3175,0.2258,0.7192,0.3609,0.429
0.429,0.0127,0.3175,0.2258,0.7192,0.0544
0.0544,0.429,0.0127,0.3175,0.2258,0.8
0.8,0.0544,0.429,0.0127,0.3175,0.045
0.045,0.8,0.0544,0.429,0.0127,0.4268
0.4268,0.045,0.8,0.0544,0.429,0.0112
0.0112,0.4268,0.045,0.8,0.0544,0.3218
0.3218,0.0112,0.4268,0.045,0.8,0.2185
0.2185,0.3218,0.0112,0.4268,0.045,0.724
0.724,0.2185,0.3218,0.0112,0.4268,0.3516
0.3516,0.724,0.2185,0.3218,0.0112,0.442
0.442,0.3516,0.724,0.2185,0.3218,0.0984
0.0984,0.442,0.3516,0.724,0.2185,0.1747
0.1747,0.0984,0.442,0.3516,0.724,0.3964
0.3964,0.1747,0.0984,0.442,0.3516,0.5114
0.5114,0.3964,0.1747,0.0984,0.442,0.6183
0.6183,0.5114,0.3964,0.1747,0.0984,0.333
0.333,0.6183,0.5114,0.3964,0.1747,0.2398
0.2398,0.333,0.6183,0.5114,0.3964,0.0508
0.0508,0.2398,0.333,0.6183,0.5114,0.4497
0.4497,0.0508,0.2398,0.333,0.6183,0.2178
0.2178,0.4497,0.0508,0.2398,0.333,0.7762
0.7762,0.2178,0.4497,0.0508,0.2398,0.1078
0.1078,0.7762,0.2178,0.4497,0.0508,0.3773
0.3773,0.1078,0.7762,0.2178,0.4497,0.0001
0.0001,0.3773,0.1078,0.7762,0.2178,0.3877
0.3877,0.0001,0.3773,0.1078,0.7762,0.0821
0.0821,0.3877,0.0001,0.3773,0.1078,0.7836
0.7836,0.0821,0.3877,0.0001,0.3773,0.1887
0.1887,0.7836,0.0821,0.3877,0.0001,0.4483
0.4483,0.1887,0.7836,0.0821,0.3877,0.0424
0.0424,0.4483,0.1887,0.7836,0.0821,0.2539
0.2539,0.0424,0.4483,0.1887,0.7836,0.3164
0.3164,0.2539,0.0424,0.4483,0.1887,0.6386
0.6386,0.3164,0.2539,0.0424,0.4483,0.4862
0.4862,0.6386,0.3164,0.2539,0.0424,0.4068
0.4068,0.4862,0.6386,0.3164,0.2539,0.1611
0.1611,0.4068,0.4862,0.6386,0.3164,0.1101
0.1101,0.1611,0.4068,0.4862,0.6386,0.4372
0.4372,0.1101,0.1611,0.4068,0.4862,0.3795
0.3795,0.4372,0.1101,0.1611,0.4068,0.7092
0.7092,0.3795,0.4372,0.1101,0.1611,0.24
0.24,0.7092,0.3795,0.4372,0.1101,0.3087
0.3087,0.24,0.7092,0.3795,0.4372,0.0159
0.0159,0.3087,0.24,0.7092,0.3795,0.433
0.433,0.0159,0.3087,0.24,0.7092,0.0733
0.0733,0.433,0.0159,0.3087,0.24,0.7995
0.7995,0.0733,0.433,0.0159,0.3087,0.0262
0.0262,0.7995,0.0733,0.433,0.0159,0.4223
0.4223,0.0262,0.7995,0.0733,0.433,0.0085
0.0085,0.4223,0.0262,0.7995,0.0733,0.3303
0.3303,0.0085,0.4223,0.0262,0.7995,0.2037
0.2037,0.3303,0.0085,0.4223,0.0262,0.7332
0.7332,0.2037,0.3303,0.0085,0.4223,0.3328
0.3328,0.7332,0.2037,0.3303,0.0085,0.4445
0.4445,0.3328,0.7332,0.2037,0.3303,0.0909
0.0909,0.4445,0.3328,0.7332,0.2037,0.1838
0.1838,0.0909,0.4445,0.3328,0.7332,0.3888
0.3888,0.1838,0.0909,0.4445,0.3328,0.5277
0.5277,0.3888,0.1838,0.0909,0.4445,0.6042
0.6042,0.5277,0.3888,0.1838,0.0909,0.3435
0.3435,0.6042,0.5277,0.3888,0.1838,0.2304
0.2304,0.3435,0.6042,0.5277,0.3888,0.0568
0.0568,0.2304,0.3435,0.6042,0.5277,0.45
0.45,0.0568,0.2304,0.3435,0.6042,0.2371
0.2371,0.45,0.0568,0.2304,0.3435,0.7705
0.7705,0.2371,0.45,0.0568,0.2304,0.1246
0.1246,0.7705,0.2371,0.45,0.0568,0.3701
0.3701,0.1246,0.7705,0.2371,0.45,0.0006
0.0006,0.3701,0.1246,0.7705,0.2371,0.3943
0.3943,0.0006,0.3701,0.1246,0.7705,0.0646
0.0646,0.3943,0.0006,0.3701,0.1246,0.7878
0.7878,0.0646,0.3943,0.0006,0.3701,0.1694
0.1694,0.7878,0.0646,0.3943,0.0006,0.4468
0.4468,0.1694,0.7878,0.0646,0.3943,0.0372
0.0372,0.4468,0.1694,0.7878,0.0646,0.2632
0.2632,0.0372,0.4468,0.1694,0.7878,0.3048
0.3048,0.2632,0.0372,0.4468,0.1694,0.6516
0.6516,0.3048,0.2632,0.0372,0.4468,0.469
0.469,0.6516,0.3048,0.2632,0.0372,0.4132
0.4132,0.469,0.6516,0.3048,0.2632,0.1523
0.1523,0.4132,0.469,0.6516,0.3048,0.1182
0.1182,0.1523,0.4132,0.469,0.6516,0.4334
0.4334,0.1182,0.1523,0.4132,0.469,0.3978
0.3978,0.4334,0.1182,0.1523,0.4132,0.6987
0.6987,0.3978,0.4334,0.1182,0.1523,0.2538
0.2538,0.6987,0.3978,0.4334,0.1182,0.2998
0.2998,0.2538,0.6987,0.3978,0.4334,0.0195
0.0195,0.2998,0.2538,0.6987,0.3978,0.4366
0.4366,0.0195,0.2998,0.2538,0.6987,0.0924
0.0924,0.4366,0.0195,0.2998,0.2538,0.7984
0.7984,0.0924,0.4366,0.0195,0.2998,0.0077
